winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2005,March,61,61,61,61,61,61,61,61,61,1e92fb7791497eb6060dd23d62c2bba9729194a0
2005,October,78,78,78,78,78,78,78,78,78,1e92fb7791497eb6060dd23d62c2bba9729194a0
2005,November,56,56,56,56,56,56,56,56,56,1e92fb7791497eb6060dd23d62c2bba9729194a0
2005,December,40,40,40,40,40,40,40,40,40,1e92fb7791497eb6060dd23d62c2bba9729194a0
2005,NA,61,61,61,61,61,61,61,61,61,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,January,44,44,44,44,44,44,44,44,44,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,March,38,38,38,38,38,38,38,38,38,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,October,61,61,61,61,61,61,61,61,61,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,November,33,33,33,33,33,33,33,33,33,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,December,74,74,74,74,74,74,74,74,74,1e92fb7791497eb6060dd23d62c2bba9729194a0
2006,NA,45,45,45,45,45,45,45,45,45,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,January,13,13,13,13,13,13,13,13,13,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,March,10,10,10,10,10,10,10,10,10,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,October,34,34,34,34,34,34,34,34,34,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,November,43,43,43,43,43,43,43,43,43,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,December,17,17,17,17,17,17,17,17,17,1e92fb7791497eb6060dd23d62c2bba9729194a0
2007,NA,55,55,55,55,55,55,55,55,55,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,January,15,15,15,15,15,15,15,15,15,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,March,28,28,28,28,28,28,28,28,28,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,October,63,63,63,63,63,63,63,63,63,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,November,43,43,43,43,43,43,43,43,43,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,December,35,35,35,35,35,35,35,35,35,1e92fb7791497eb6060dd23d62c2bba9729194a0
2008,NA,22,22,22,22,22,22,22,22,22,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,January,18,18,18,18,18,18,18,18,18,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,March,80,80,80,80,80,80,80,80,80,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,October,109,109,109,109,109,109,109,109,109,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,November,80,80,80,80,80,80,80,80,80,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,December,47,47,47,47,47,47,47,47,47,1e92fb7791497eb6060dd23d62c2bba9729194a0
2009,NA,59,59,59,59,59,59,59,59,59,1e92fb7791497eb6060dd23d62c2bba9729194a0
2010,January,9,9,9,9,9,9,9,9,9,1e92fb7791497eb6060dd23d62c2bba9729194a0
2010,March,39,39,39,39,39,39,39,39,39,1e92fb7791497eb6060dd23d62c2bba9729194a0
2010,October,92,92,92,92,92,92,92,92,92,1e92fb7791497eb6060dd23d62c2bba9729194a0
2010,November,21,21,21,21,21,21,21,21,21,1e92fb7791497eb6060dd23d62c2bba9729194a0
2010,December,41,41,41,41,41,41,41,41,41,1e92fb7791497eb6060dd23d62c2bba9729194a0
