species,locationgroup,model_type,analysis,fingerprint,status
1660,WAL,aggregate imputed: sum ~ year + month,22da5f0db63723c8519753d87bad9ea00d19eddf,711eb439f9e3e4052291632a8b16f67c91cb5126,converged
5560,BELN2K,aggregate imputed: max ~ year,22dce72a7046c3f3d65445cf7d8abe3891ad2751,4a9ecdd69045c9970fd89339a09d7f4d07f753b7,converged
4240,WALN2K,aggregate not imputed: sum ~ year + month,22e338a4f6de3ab64d8a16bb9c4d4346727b1291,d9df3b027ac60e3f1884adf64fe851befe5013d9,converged
1820,VLN2K,yearly imputed index: Total ~ Year,22eab165429f9e2b88e700d580b4ff2a23b435a7,de21346c527d493e32d31e701e04f0118cc16b0d,converged
1790,NOH,smoothed imputed index: Total ~ Year + Month,22f18aecca3f53c9f770cbc6756116f1d9076012,47e10a8f9a25f28d24ce44c3c9ff719958c674a7,converged
1580,LO,smoothed imputed index: Total ~ Year,22f1d34de711f7e6bcd3e76ef548404fb64781db,143af4afd5c5e48162c1968f993cf541e22ff1df,converged
1710,VLAA,smoothed imputed index: Total ~ Year + Month,2309d9fc5b88d11bd9f1025c0e869f256f44b567,b8f92a46289b961bca0a7c4bbb694bcb2b8a3aa3,converged
5100,RO,smoothed imputed index: Total ~ Year,230cd95d0b8c0bff55f6ace13429d3e0877eb011,a0a21d97d043e2ec84f004518018ae2edf190518,converged
4930,LO,smoothed imputed index: Total ~ Year + Month,231a23c78f0372263b032263e62d314d5573e288,d5dad2ac6f7e08fa805f76145dfc814b9d8f7922,converged
4970,SEST,smoothed imputed index: Total ~ Year + Month,23296446770168eb2b741f7b12310716a1f9ff92,da5fa580bb7478c0bc67fa5bafac5094aeb4e347,converged
5920,WETL,aggregate not imputed: sum ~ year + month,232def79212cb6cae8645898094e99f419bda373,c14ec6929b2b3747ef39b77685d342d292cc64bc,converged
2040,WALN2K,yearly imputed index: Total ~ Year,23397fba2014ec5a01040036ab13be278f16be92,cf23c009323a3a3e821c199f19952f748d203a5a,converged
WI-steltloper,NOH,composite index: ~year,233a62e721790a20398d127817eecb00a2eaf864,d1a8ba87de001b9af0b8ce4e801e2200dbe2dd18,converged
5340,VLAA,inla binomial + zeroinflatednbinomial0: year * (location + month),2343d64b141d38d2a9e0649e44a8d474f293ff72,50245a0a07d8338f0cf8abfaa7717615f3322e89,converged
2030,VLAA,aggregate not imputed: sum ~ year + month,2344c410d95ac4b0e0c7722208404027764eea9e,9d24b5195c4d17dde8a05b2e60bb93396a5a7726,converged
90,WETL,aggregate imputed: max ~ year,2344c623d409e5ca3f8a45ad576fe7644183bdd1,8e8cb820d0ab182f29c1b04a59c74c666073578e,converged
5927,WETL,aggregate imputed: max ~ year,23512719c030602b60605963147f19e323c13670,a1f3cc1fb546628ede3774c55b3505c8576f7ffe,converged
5120,SEST,smoothed imputed index: Total ~ Year + Month,2361d94a49dcc972bdb9b9316a2e056a569d49a3,0888ea146954e1740dd4f26fb9ced06587b3ea3c,converged
2230,BELN2K,aggregate imputed: sum ~ year + month,2361f83b92695d5e36ba2284e349ed95bb24b8f2,be7a181910ec43150c1d8ee8b3ec4811536b9daa,converged
5460,BELN2K,yearly imputed index: Total ~ Year + Month,236d8988f66b9b94824c79a1a9be74993a085a71,88cac9d534478caaa5489c30efca9963581556e5,converged
5820,BELN2K,smoothed imputed index: Total ~ Year + Month,2378bd9db2ef58628515c0c0924098010def2d57,30962e573e0cf81a534e72a4b05b59940553d5ef,converged
4850,LO,smoothed imputed index: Total ~ Year,237de5c9af23ff6ae2dac650a252b0e8ecd743e3,ce48deafac466e287741c5f89d71b4ff23b4e860,converged
4290,BELN2K,yearly imputed index: Total ~ Year + Month,23817bc23609bed4550e94cb92ae24b6f661980d,ed4653f116cd16cbbc0a0cfb66e222f3e87fcdbf,converged
1560,WALN2K,aggregate not imputed: sum ~ year + month,23944c27ed69357e8fef09ec6b4ce64a4c4a21ce,cde234ae911051bcb16b66929da82b0adf670a2b,converged
1980,BEL,aggregate not imputed: sum ~ year + month,2394932873a32fc536f535c0e8b7f8554ab87cd3,2850b543bcba8b212b4b03b8ca64ff1559913b21,converged
1440,VLAA,inla binomial + zeroinflatednbinomial0: year * (location + month),23a01abf486fc0d1e6e632c7276c5f344af49053,53a830f66ef17a28663cd5c3b0234579911c7604,converged
1710,LO,aggregate imputed: sum ~ year + month,23acb06919f702b4c7878321e0177cd61a7365f5,91451c7e300a2487591eafe57408c0ae14a6807a,converged
1980,WETL,smoothed imputed index: Total ~ Year + Month,23b68c1ef767ecdc5b9644c4fb683f0fae3dc54f,5d96d2351963842b97fa75212cbab5eb1d0e1961,converged
1940,WETL,aggregate imputed: max ~ year,23ba4b8eefe9caef390eced63d9c90600a258ff9,117ffe7b2be39687bec3ab9de65f9d2e7813a05e,converged
1960,VLN2K,yearly imputed index: Total ~ Year,23d1d2d6328f31be57fd14b22bfe10685f1a1da0,d0ba5713d0b8792d1a44de1c0b3033ac074bc52d,converged
5530,BELN2K,yearly imputed index: Total ~ Year + Month,23df844f64a24c6cfc72d4bf6e45ffb55f84f208,c9b4f17de801b0d1917537f614ce16a9d0859b28,converged
100,BEL,aggregate not imputed: sum ~ year + month,23e69ad06eb01dfe868952da9d4bd8cd4db72189,4b8ce05cf2af8ed50e2079d275c5cc282e58b5e0,converged
5820,ZR,aggregate not imputed: sum ~ year + month,23f4f3accd331c21751039d765e170d1406f541f,b8400aed97d40ac388b23d8a1e9b7df8b967c7b1,converged
1750,VLAA,smoothed imputed index: Total ~ Year,23f595298660fecf4661baf0e07e570445d48dfe,5e8e475b5273675f6b09c339bbf9265883218ca9,converged
1574,BEL,smoothed imputed index: Total ~ Year,23fd5bd174ba39fc5f9231459a71286a3ab58e03,e8aa1c08f9789eedb6e89bba926cd206e4e23964,converged
10190,BELN2K,aggregate imputed: max ~ year,2412138c21ca4124464dc3589bbae8886a8fa0aa,54108b51ed70f658dd1106a480847c0d8d35a745,converged
5910,ZS,aggregate not imputed: sum ~ year + month,2421b5ffbe85929c70c23b6713270bf58b227b91,8bfe0499452df0dccc4ea8164d68faa4fb635f09,converged
1660,BEL,aggregate imputed: sum ~ year + month,24270ec211721ba437471d6289063e45462e3ead,64e1df4179921daeb78bd30b5ec02394e3b41a61,converged
5460,LO,aggregate imputed: max ~ year,242eda8b95e8c874e708f3b2b562c9c8e047e1f9,b2c3bbea78a56d2b02e6631f49814f3a20b59d76,converged
2200,BELN2K,smoothed imputed index: Total ~ Year,243381144fd59b1097ebc0ec398c91a2ab930f96,1a5b694c16ccf76c2774f5389bb5c136d1d313d5,converged
5410,NOH,smoothed imputed index: Total ~ Year,24422f98fdc7dde208a8ded5c75c9fda5e4f20d9,48f21c850280d278d16c2f71066cc46e6249636b,converged
2250,SEST,smoothed imputed index: Total ~ Year + Month,2457fb8211183578af208b7775ad2365e66ae49a,0eb321b2965c7fe07d64cbd5709cfd26a981946d,converged
70,WETL,yearly imputed index: Total ~ Year,24667f5843442f5b1deb1faee0ddc334833f2734,1f6804474c6c73c218c0632ef1a6e0a27fda90c8,converged
1660,ZR,smoothed imputed index: Total ~ Year + Month,24687625bfeca479d1d343ec6d8bfa8689500deb,26aee51ee771896ac9097df65e14a913c870b865,converged
2030,LO,yearly imputed index: Total ~ Year + Month,2473e6b8053bd1662378dfbfbf4433551f3c335d,5c6b27887e090f8cf2b6475ecf0cb973b4059e39,converged
10190,BEL,aggregate not imputed: sum ~ year + month,24826abceb161ffce834bdf681c5e16e42aa3a82,5786018d8a1dffb48f22f67fd25a4cb0d4729f30,converged
1574,VLN2K,aggregate imputed: max ~ year,249be3341787345367faf866e5ebdfcd0329e251,e655f3f01118aaadb9826e92e7ea81d3cf580827,converged
4850,WALN2K,smoothed imputed index: Total ~ Year + Month,24a2bf0e19ddb8b832d96c62eed9e37d28fb3b9f,6840e631e7db2c4c45bbdd3b9c7afae5f2030264,converged
8310,WALN2K,aggregate imputed: max ~ year,24a5323ed660b4a669bfb55022d94843fbf8580e,bc33cc080a4b445754f5bb8f79436a137ae93da1,converged
100,VLN2K,yearly imputed index: Total ~ Year + Month,24a659121e3df000a673d5ec69c988126f5293b7,9de5a813b43e5bc82f70480f3278f2b455db6eb6,converged
5610,BEL,inla binomial + zeroinflatednbinomial0: year * (location + month),24a7cfa9017da2bda31d9557359fad00726318bf,63ee964ccd198189660966f7bacb247d62473623,converged
4560,VLN2K,smoothed imputed index: Total ~ Year,24d5f34ec1d3576b43853f0c96a8775318ad7513,61269d4553c75f2954f4563b3e284545f1c791a7,converged
720,SEST,smoothed imputed index: Total ~ Year,24dcc119d0369d760f0e1d0c473ed9a82ef90f82,732c7a40e323147520228f676ec2e92e79de181e,converged
5170,RO,smoothed imputed index: Total ~ Year,24e1269b4849e3d589efb3323da675fa6c9a19e4,e86df1e808da1a9536a512318491099383d5d682,converged
1980,WETL,yearly imputed index: Total ~ Year,24e2118e99fe3c043a5603efbecb32ca174ba02c,fa1a74ec9cff5e1bc7f024d0bc874702d874e1ec,converged
4070,RO,yearly imputed index: Total ~ Year + Month,24eb4166c79fa56e7d696bb008041d0c18971cba,0fff4f3bbf82e45bb07ba645f5894f833c7b1e97,converged
5460,VLAA,inla binomial: year * (location + month),24ecd0b57e5783e820d3417206ad0685051f60f2,5cc88e1ad19c8433645a6bc782af0d0e9c29ef2b,converged
70,ZSVAL,aggregate not imputed: sum ~ year + month,24f6cbabc2bddd6c8da375babd575dc48bdab1cd,55fa2bed30db9f1bdcaf16a0cbe3290e8788ca5e,converged
1960,BEL,aggregate imputed: sum ~ year + month,24f6e26526d62c0cbaf7eaeabc0180f4a2f0c988,f1f3d736e98945d9067fb6880d88d76820d12d25,converged
5820,WAL,yearly imputed index: Total ~ Year,24f943452a138bb4de59f6d0fe01eab8886cd445,7466e8a2edc2a6ffc479429af253e083a606bdbc,converged
6000,VLAA,aggregate imputed: max ~ year,250c509d8d453df3efe61cc9162b8d6d7c8e1369,9bfa77373ee66f84c2c653e3246d8081b0e950fd,converged
100,WAL,yearly imputed index: Total ~ Year,250fa6b9551a42a3452b87e629714d1a3e095100,6eca474d14b5e1a5878c484012e08e70767831ca,converged
5926,WALN2K,aggregate imputed: sum ~ year + month,25112fcb498a71e82033160d7b68129a524318a5,5e5bcfda8622cfab8b9891591a6c5889fa4b25b3,converged
5290,ZSVAL,aggregate not imputed: sum ~ year + month,251244b58a3f5e2b2866fd51ce84b56a2c81a414,ca2cbe3a205033a5467d63155301c3f0573085fc,converged
5410,VLAA,smoothed imputed index: Total ~ Year + Month,25224147f91d48616e0cbb2b7124718a197811aa,2acebaa8b296fef0ef8f1e8c0a478791590c2ced,converged
1660,BEL,smoothed imputed index: Total ~ Year,25253a1e46c37e4eebe2816bd835910f64a943a8,672dc1dc694dfb1c093dd2ead1b99d896ab3aa07,converged
5410,BEL,yearly imputed index: Total ~ Year + Month,2528f83993adb5eba82f562312adf27b583c5d1b,5c35cca2f8972b3248509f1686d29e698ed345d8,converged
2200,VLAA,yearly imputed index: Total ~ Year + Month,2532847189a190e14ea3375ed42f7864c9a2c3be,b621ccb8e86be106d8fc0d7e12183a895a5c58f3,converged
1840,VLAA,smoothed imputed index: Total ~ Year,2537cc2e3e37c7a28be2486f82bc71a519315703,98a41e9d9dc0685a268f496af39f387b68345bf6,converged
100,SEST,aggregate not imputed: sum ~ year + month,25389bfa0158ab7374ae4434b3fc780bf2b85e81,d6e5f0ea0a9caf94587d767e26a1b49b0bd4b069,converged
1820,SEST,aggregate imputed: sum ~ year + month,254b2ef89140ce737fe7ef7e39dbf903e657d525,0311903acb90abd8e4e0bf25c6213a7e52a9f12c,converged
1960,VLN2K,yearly imputed index: Total ~ Year + Month,25586d44e55d4fbceb87850f9f9e8ba81e4ee8b9,d0373c761233084ca55177a111d3d57b077daac7,converged
1440,ZR,smoothed imputed index: Total ~ Year,255954f2538e78c84ef6c127523ce5d1c6e70d58,1d8ba1fe6c840b61317506b18c32488e36470c35,converged
20800,ZS,aggregate not imputed: sum ~ year + month,255eea5cfee5b9c82570a5eeab7f180df906a2d9,44e7e56bf8408db14092402310df48e1e4c359e6,converged
950,RO,yearly imputed index: Total ~ Year,256326072d7fd03744b8e241db77475bfdc42bb9,d13b2e7e8589058a65cc7fd1dbd4313ad9000f1c,converged
5460,NOH,aggregate imputed: sum ~ year + month,2569feb809ec0cae1a995e597e70c43d6f6cfbdf,838844ba1c0546c421889c74e992955e0ed70e69,converged
5170,WAL,aggregate imputed: sum ~ year + month,2575f4872441670bd6d573198531cf79a118fd6e,83194cdd173892c2543471968499bcf09683265b,converged
4930,RO,smoothed imputed index: Total ~ Year + Month,2590327db32d68ca42b07953b248bd2e854135bb,9386dd5be370fc7a0da70aa440afa8965a8b126d,converged
4560,VLN2K,aggregate not imputed: sum ~ year + month,2597d37494cc9bdae712b1197f92a6c27d3db270,da53512ada0fd4637f435bc43c9df49963ee5241,converged
1790,WAL,aggregate imputed: sum ~ year + month,259d56017df5e15d440171e757f13c1333588785,360ebc34c98f12bd85357c3d52f74b0b87a87311,converged
5100,RO,aggregate imputed: max ~ year,25a661c70a44652177ffdb27d777e65c72f182e8,f928a80314c48af0f03d1ba036be15fb2c6048f9,converged
950,RO,aggregate imputed: sum ~ year + month,25b40bce279d49726065ecfb70eb19ea4719e687,0efb8dafbbc0c156e7ac723850973ecbf10eb8b3,converged
720,WAL,aggregate not imputed: sum ~ year + month,25bbbcac596b9d510b874487a55f31607ccf36e5,a3501db4760b0e566adfeff58bb5d610b985a408,converged
5920,VLN2K,smoothed imputed index: Total ~ Year,25c54af33da1a617f53d8aa93e687a6c6659b405,a952de6b7dcae80b73ef93844824c5b322ccfa42,converged
2030,BELN2K,aggregate not imputed: sum ~ year + month,25d23619c5ffcb0a29bcc6fe012cc66550f92cc4,d9b8717748b1c778dd3f5d30257928d66f2c5577,converged
1560,WALN2K,aggregate imputed: max ~ year,25e7c8d4191f87a1599549ed9f52a7678f825d68,a9fd96006ae8177789276f14d0c67fd484a06bc0,converged
1710,BEL,aggregate imputed: sum ~ year + month,25e852c8f765a1b3055e6ea974c3c8cfcf5ee64a,5b1454417c4149e3fa23e97bc0f9700def9875bd,converged
4560,ZSVAL,yearly imputed index: Total ~ Year + Month,25fa958da3ab046873d7f58f34b01c7b56245c98,5441056178bb8300e2b5f0d62b9b53635b2f88e4,converged
1860,ZR,aggregate not imputed: sum ~ year + month,25fba1975bc435c0c72cdac4e867336be5e0a22c,74a7a9629cac157f5b65745ad404820a0f8a7865,converged
1980,WALN2K,aggregate not imputed: sum ~ year + month,260318669b357debf5f55ae44f942e9c51eee03a,da05b88c04743b7e2144c71e9af24430eb8de538,converged
5190,WETL,aggregate imputed: max ~ year,26039b9481f10d6ec391877b8a03bb7db62bfa5e,4903bfc711be9f48819d590d96df82e43ac13629,converged
1530,VLN2K,yearly imputed index: Total ~ Year,2608a03ebd166deb4b13b95fa16d64c357e09a48,9fb3a5e38626a7dba869441559e3aa8ec7c40a96,converged
2250,ZR,aggregate not imputed: sum ~ year + month,26150d97a0f1e4307c1d169e987d31f978e926c7,26635a36c8c38e5f5cbcada81b9a781e7ac7edd0,converged
4560,WETL,aggregate imputed: max ~ year,2616d5445a303f31659626032ecd45df0bb0fd51,88d30e0915db7d90dfa58402c6328698564516a9,converged
1590,ZSVAL,smoothed imputed index: Total ~ Year + Month,26189a48c8a950ee1dc9ef78cb0f3e6b1567581d,5a3c1c024d7f30b377797c57e05cfe6e36311055,converged
1670,WAL,aggregate imputed: max ~ year,26483bbc66ef8d34dff0825217a2542c7f9504ff,aa4d16382146ec9eac9e96845ecb4631b4761dec,converged
90,RO,aggregate imputed: max ~ year,2650f79de5ace1fbbcdb111ea9ba19b46df0a14d,af9b63ddc64bc80c60c2e836f7eac91dbf586f86,converged
2200,WETL,aggregate imputed: sum ~ year + month,26641960982dbd49154be2c1f92ee1dfd6445363,cb3e58fae7b951048d375e7c11646fcf1d9ca47a,converged
4930,BEL,aggregate imputed: max ~ year,266456fe6892011ad292c3d2bd2109ffa0bfc7d1,06ff165ab223a18b4211f16d6ada672dee5e9870,converged
2230,ZSVAL,aggregate imputed: sum ~ year + month,26678074e820e38f7e2aba01ded58a67982a2c04,8c5b03b4eae000bd9670cbd7a30aa026ff6f92a8,converged
20800,WETL,aggregate not imputed: sum ~ year + month,2669040a8863c818013f39dc29d7fac4833fb3a3,af511d628e8266a5fe04b618245ebf15a411ca1a,converged
5290,ZSVAL,aggregate imputed: sum ~ year + month,2672f01c53b47f277c9a0beece0fdf377aaf3977,96e7b18f12851b0cd9825b7108824c2524ef309c,converged
1210,LO,aggregate imputed: sum ~ year + month,267cc1e55db9a9493a55981b3a6a936d417d2094,265030ce6b173220bcef75591e5056db7dbfc7f7,converged
1610,ZS,smoothed imputed index: Total ~ Year,268eb94b0bc7a8472941b23d4fdee883dc898b23,78b47e135adea1ff03a8c25154e87c242864e1a2,converged
5927,VLAA,inla binomial + zeroinflatednbinomial0: year * (location + month),26968581e9a6de14c3a4d2bdcdc6e099e2507567,e59a8683ceb211dff0cfc552d6a52f9c213dc96e,converged
1610,VLAA,inla binomial + zeroinflatednbinomial0: year * (location + month),269bd6d75abb53a5bab98a8aaff3f1460597fd71,60412b57815bfb69725f0fe2a04c2ce287ef5c37,converged
1940,WETL,yearly imputed index: Total ~ Year + Month,26a64b7d4134a228622b692b5d8eea7d6583b0ba,892cce44bd32a9563b7283d17aa034873d75cc65,converged
1790,ZS,smoothed imputed index: Total ~ Year + Month,26a808d62726029356b7fa1fbbf2da07f192ed83,990c88fba99a2bb0c839b2ac99f1422af2acc39e,converged
5190,RO,aggregate imputed: max ~ year,26aae5268da07d1a1b8fa89dc820cb075ff361e5,8f5072854d7442e2c7f22125c2d384a5f6fdf0b3,converged
2210,BEL,smoothed imputed index: Total ~ Year,26ac2c71db2dbb139a18579687182d33d0b22ce8,c5ab3747af22abb03244e7aa736d8dc21dff2b30,converged
1869,NOH,yearly imputed index: Total ~ Year,26c65eab5bca36db8400b91992c9661474707b67,37113f1ecada11ab4ec54b5d8339d3a314b45336,converged
4700,BELN2K,smoothed imputed index: Total ~ Year,26d284aff0608c2cbb7c835ed7f24ed13e4777a6,444adc366b632dbb5f08bb489fdda2217b6b40bc,converged
1980,WALN2K,smoothed imputed index: Total ~ Year + Month,26d460f8e8dd09a97b8d30e82f7e1f7ea1fca821,bd4f6e364dae6b550ca82b8a3611930ed7c23360,converged
100,VLAA,inla binomial: year * (location + month),26dd6f6783bd0f59c1af8a2bef93d7525a726fef,491c403b41e3d592a07b4bac12aca5a8857575ba,converged
1700,NOH,smoothed imputed index: Total ~ Year + Month,26f76c4787c01e183ff7cd72787687be4b657f8e,5bba2d3c7898c67312cb317243d308e31e72135c,converged
5900,WETL,smoothed imputed index: Total ~ Year,26fe1ecf379e2cbfc987a764ab4e523a22cf25b6,b754eee7534a5eb285764213d0a51526d794640c,converged
100,BELN2K,smoothed imputed index: Total ~ Year + Month,2708706cd159560d3683b53eccb3b7d5f83dc5a1,a8313d8d0a1bd3c63a4d9dd2e9c6efbb92406afc,converged
4850,BEL,yearly imputed index: Total ~ Year,270bb127f56e5aafbb3e9cb8acd698cbe3d60a7e,9ef689ea3eb716dd13e9d66b3d938cfd83fa6b2c,converged
4700,BEL,smoothed imputed index: Total ~ Year,270c580815a6561e2b2d4674376c4e2c06ef3127,19e14cbbd1ebf59ed2e12f016f84bcd76ababb3f,converged
2230,VLAA,yearly imputed index: Total ~ Year,27152504731246e8751f77e44dc774bcc86a77c5,159464fcbc0da26998a9c4c18d2d2f660cdce939,converged
5120,ZS,aggregate not imputed: sum ~ year + month,27198ba625765c8956e1ba155f650c7fcdc4a868,edbc3adbc1ea2ff293be38e2e1e5ed0ff1343611,converged
1530,SEST,aggregate not imputed: sum ~ year + month,271fdc319b77fd7691a0c79b0e4749068c32a6aa,09d8337f1ff5c1108125748490cc69a4a2a20674,converged
100,SEST,smoothed imputed index: Total ~ Year + Month,2720f8893606aad0872b10896bc64bc0e18d632f,3725388a640a8eb0bba7b81bc69609cbf8410923,converged
1590,WAL,aggregate imputed: max ~ year,27237d08e4ffadd85be68c08dcbc99ec389ced26,227992941ac0d2dd74672c937e06392081167253,converged
1940,VLN2K,aggregate imputed: sum ~ year + month,27250934fbd0852e86a90e3a3d03a4824d552409,7d8db7d13951441809ae8be02550c7ea4d38a95c,converged
5450,SEST,smoothed imputed index: Total ~ Year + Month,2730730fbdbbfcfa0729640d06eaac41f5bbc8cf,b8343ff885fb362d4b20e57b3c3213bdccae39bb,converged
5100,ZSVAL,aggregate not imputed: sum ~ year + month,274554ebc113943e4bff805473da156cf2307918,96297aaab81a69d7aab8bd450ea88bb20709c305,converged
2210,VLAA,smoothed imputed index: Total ~ Year,2750b7ae0064203beb3ca53760dc1cc5e3d0764f,6853044b67655c875fa213f8d48e21ff3e7d8444,converged
5460,WALN2K,yearly imputed index: Total ~ Year + Month,2756ccf77d7bdad1f0f8b794f27bf64da870ab1c,18d93482f4cd8b4dba420c0f9b665255b35da850,converged
1890,WETL,smoothed imputed index: Total ~ Year,275b3eaadd6e6d46d5ae77008b039fc365c3ff2d,62fd8bd812ea0cac18cd6fef3a6420bcb8cf8a04,converged
1820,RO,yearly imputed index: Total ~ Year,275c9f0aae517ec5edd85c6bdffaa35fb696bc0e,6c2366d6bc82b0302a9b49b1c70123f3cc9f13a8,converged
5170,ZR,smoothed imputed index: Total ~ Year,27600c21210775838d052b52864c0b6b86c33f20,9bee3ca6724b41d5a9ea27a20b002bc79a763ee5,converged
1340,WAL,yearly imputed index: Total ~ Year + Month,276299319128072c75e62e96e7371efb66b52c5c,186dda4b7cb4403dc8fb99f7d68721779b78fd24,converged
5190,VLN2K,aggregate not imputed: sum ~ year + month,277032b3d47b0363cbc0fc01baf3f7ebbbade33a,87cca034424eb096bdddcffe7444ab0455537974,converged
1619,BEL,smoothed imputed index: Total ~ Year,277638647624e8ab80ddd9a1c9da08ee26962dcf,abeaa8656de3a4f843c300ab8c59b2edf2a32d81,converged
6000,ZS,aggregate not imputed: sum ~ year + month,2779794169e6f7687a9cf7f37d417097cea79a75,9d5cdc17991b01bca5cf0ef0092a5046b2b98b9c,converged
8310,BEL,inla binomial + zeroinflatednbinomial0: year * (location + month),27a95fac7d12466bf3f8173c658d06429083458b,9617feb74bacaefb8659684f4dd6485a13ed9909,converged
5290,WAL,yearly imputed index: Total ~ Year,27af79da7e21048af2a719315e3b88490f5b5fb7,429197eb9f2bb71def0ad2d3d68c702c35a62831,converged
1574,RO,aggregate not imputed: sum ~ year + month,27b75918432597b0fe789c0e3fd38c1e1eb3eca7,d769a860c057a4b585a29b79cb842f8c3268a5f0,converged
5120,BEL,smoothed imputed index: Total ~ Year + Month,27bbb4644694faa749dc140217a8169178ec018c,5cc1ef6279563c67c40a998a60ccfff1f508dd9f,converged
5920,ZS,aggregate imputed: sum ~ year + month,27d696d2ca50e1ec04577afe37709c143781aa40,4daace1983e462fc5be4e4c9a090586d1e3e62b0,converged
1440,RO,aggregate imputed: max ~ year,27da5ce14e2c33ec64357711f5fd127a21303c83,4470fb199793a63be822fabd9e703fb56650b9dc,converged
1860,RO,smoothed imputed index: Total ~ Year + Month,27e4a6e315d94df5902ae3797335a301db9df3bc,89bff529b11e335dee821836a64df6b5092a00e1,converged
1890,ZSVAL,aggregate imputed: max ~ year,27eacfc3cdd2dd83eb94386c3977b8ff207b3def,a04b4440af63a457ac6ace7a98c896b48b99fc1a,converged
1670,RO,yearly imputed index: Total ~ Year,280245c3092aff76b734ba4acbf5a982f5cc0054,5807290b5b18d1863c366a9dd51f9f7688d671de,converged
1840,RO,yearly imputed index: Total ~ Year + Month,28065f404c871fe0b131049907273f70aa8fc066,0347ec6a936da0be00527932b2dbced89414f498,converged
1620,BELN2K,aggregate imputed: sum ~ year + month,281e3898d8d39856af400f8f57425f1820bb6234,abe54839725a191a79e172646d498b804885d4c0,converged
5560,SEST,smoothed imputed index: Total ~ Year,2820476b9a3df1f7991b9aa3e1ad78da8024bd24,69ff75830ea1dc9bd9144c0463852fa4298afe9e,converged
5920,SEST,smoothed imputed index: Total ~ Year,282648db71dac98ab7bd62b29ebd5a023f5316bc,db3c792db3b03a42269c169540455c641909cc35,converged
1620,LO,yearly imputed index: Total ~ Year,282bf20b9302fdf607924eb536b829a7d2a82d74,57181b7042f51a77be6dd92065516b479db9775d,converged
5920,NOH,smoothed imputed index: Total ~ Year,28326dc3dc5f10f233f3da4f78112ac7aef25472,56efd535fc02a2b79c3a2d7472b4f81aab28841e,converged
1220,BELN2K,smoothed imputed index: Total ~ Year,283e6ad47a9f07dd409cff2e13567f7249d39cf5,ccc29d254e0f5af57657485159a721d6d34a6ab7,converged
5927,ZSVAL,smoothed imputed index: Total ~ Year + Month,28462a4425d7ca24df4e13f9e3d9e59d946ff523,f67581cb8262565def175c8e1beaf03da90e81dd,converged
1619,WETL,aggregate not imputed: sum ~ year + month,28509168668555e19689e3c8f4472cc9e3feea41,3f8ff7b7b5ced1531c287ad2ac0c66638d4aaaff,converged
1560,WAL,aggregate imputed: sum ~ year + month,2855185f7640ead9db293beb363979b1a97a442e,0a6dd47b47cf61a6cac6128be70d89f7d323a364,converged
4290,BEL,inla binomial + zeroinflatednbinomial0: year * (location + month),285843c8a87639d0a413fb8501534dea018da959,3850b423468c7621b7e5fa40b56a6611e820ce74,converged
5120,ZS,smoothed imputed index: Total ~ Year + Month,285a00f2e8fcb8275b0565401aa25b9a8bb82c01,f7f6988b8eef3abcdb62cb087dec26264a38ceab,converged
1619,BELN2K,yearly imputed index: Total ~ Year + Month,2867a99db50168b8e86a4750c0a01352236c2ecd,98672df563e97f467f5f16b6d90ff97001d1f21a,converged
70,RO,smoothed imputed index: Total ~ Year + Month,2872f59efb6f1929061b7df98126b7ee9ba7bd32,c84f2c4e75613bf76436632548fc5375a7ea7004,converged
1210,BEL,inla binomial: year * (location + month),2889bc5adb8f992cb9bcceeb269553583d0d0e4d,592bbe84a58bb55b3a1d7ec38b1425db0fb7b856,converged
1210,BELN2K,yearly imputed index: Total ~ Year,289119ae37680b931dddff017ab085f5ed2bcece,00c98a889b9a104fc31f02a77bb1d6a9c11625a5,converged
1869,LO,aggregate imputed: max ~ year,2892db8e372b22efa0cc6778255c9e7b1bdb5f57,8cf707d3f9eb5b677a03cb072a2657dfbe8c579e,converged
1220,WETL,aggregate not imputed: sum ~ year + month,289a289b0f0c142194a8c024fb4a412cf5b830bb,2208039a0cbcc6dd711c91bb9ddcd3f64444c16e,converged
1590,NOH,smoothed imputed index: Total ~ Year + Month,289c3bd9b83f3fd3fbbe07140c959df15379bb59,7520581c0771b4aecc4375c8af0130d72ab60dfe,converged
4930,LO,smoothed imputed index: Total ~ Year,28a33501dbd395ab15a864e788e20ee52a8f9268,698051e612769b185b89d30cdc2318d9560baf0c,converged
5900,SEST,smoothed imputed index: Total ~ Year,28a891c387e1ac6b29b062bff0229f6775553abb,bb0b6056c38454defc9bd5b4e233b8ec6714f4a7,converged
WI-eend,NOH,composite index: ~year,28bc045bae03280ad1f1998e5e6d7ce948ed4527,24b08ac2515955bb440e2aa6b7fe84dc985aac03,converged
1530,ZS,aggregate imputed: max ~ year,28c34cb220a282e1ad8aa120fbed76f937c515e0,99ad0c687078fadcfe078626ea1778997221bde5,converged
5410,LO,yearly imputed index: Total ~ Year + Month,28c44601a47bd464706e7c270bb7c0644f0340de,a8e8da39f5b31fc126298f91a77aef19f638857f,converged
5190,WALN2K,aggregate not imputed: sum ~ year + month,28c6e7e42eed72873bc3c8dbd3c42e3486c70161,cf58d1dbcc9bb917d778121deeab2e507b1d3f20,converged
