winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2002,NA,362,280,300.8,330.8,344.6,382.7,408.2,475,593,f645176aa8693976bb48bb567f382ed517c7ecd0
2003,January,748.5,664,690.8,708.6,727.3,775.7,804.8,872,933,f645176aa8693976bb48bb567f382ed517c7ecd0
2003,November,86.5,74,76,79,82.65,92,96,113,166,f645176aa8693976bb48bb567f382ed517c7ecd0
2003,December,466.5,371,391.9,422.8,450,483.4,497.8,544.2,698,f645176aa8693976bb48bb567f382ed517c7ecd0
2003,NA,402.5,278,331,361.4,377.6,429.7,473.8,558.4,634,f645176aa8693976bb48bb567f382ed517c7ecd0
2004,January,518,454,466,487,501,530.4,554,598.2,646,f645176aa8693976bb48bb567f382ed517c7ecd0
2004,November,30,22,23,25,29,33,37,47.4,61,f645176aa8693976bb48bb567f382ed517c7ecd0
2004,December,274,223,239,251,264,289.4,309.4,362,392,f645176aa8693976bb48bb567f382ed517c7ecd0
2004,NA,406.5,331,359.8,382.6,397.6,428.1,464,534.4,621,f645176aa8693976bb48bb567f382ed517c7ecd0
2005,January,469,432,437,449.8,455,478.7,498,530.2,697,f645176aa8693976bb48bb567f382ed517c7ecd0
2005,November,18.5,10,11.95,14,16,23,27,35,49,f645176aa8693976bb48bb567f382ed517c7ecd0
2005,December,346,294,307.9,325.8,336,365,397.8,435.4,549,f645176aa8693976bb48bb567f382ed517c7ecd0
2005,NA,426,345,370.8,391.6,412.6,448.4,472.2,497,543,f645176aa8693976bb48bb567f382ed517c7ecd0
2006,January,403.5,346,359.9,380.8,391,415.4,435.6,487.2,524,f645176aa8693976bb48bb567f382ed517c7ecd0
2006,November,15,8,9,11,12,17,22,38.1,85,f645176aa8693976bb48bb567f382ed517c7ecd0
2006,December,272.5,228,238.8,256.8,264,284.4,303.2,329.2,374,f645176aa8693976bb48bb567f382ed517c7ecd0
2006,NA,511.5,451,468.8,485.8,501.3,523.4,548.6,586,684,f645176aa8693976bb48bb567f382ed517c7ecd0
2007,January,384,342,348.9,362,373.6,396,412.2,435,524,f645176aa8693976bb48bb567f382ed517c7ecd0
2007,November,56,49,49,51,54,58,61,76.25,97,f645176aa8693976bb48bb567f382ed517c7ecd0
2007,December,230.5,173,188,203.8,214,238.7,255.2,271.1,333,f645176aa8693976bb48bb567f382ed517c7ecd0
2007,NA,306,258,271.9,288.6,297.6,323.4,346.8,372.2,395,f645176aa8693976bb48bb567f382ed517c7ecd0
2008,January,386,338,344,356.8,372.6,396.4,415.6,442.2,541,f645176aa8693976bb48bb567f382ed517c7ecd0
2008,November,65,56,58,60,62,68,73.2,81.1,104,f645176aa8693976bb48bb567f382ed517c7ecd0
2008,December,280.5,226,239.8,255.8,266.6,292,303.6,343,394,f645176aa8693976bb48bb567f382ed517c7ecd0
2008,NA,327.5,273,280,293.6,313.6,338.4,351,385.4,456,f645176aa8693976bb48bb567f382ed517c7ecd0
2009,January,405.5,354,367,385,393.3,418.4,436.2,470.3,511,f645176aa8693976bb48bb567f382ed517c7ecd0
2009,November,28,21,21,24.8,26,31,34,41.05,66,f645176aa8693976bb48bb567f382ed517c7ecd0
2009,December,341.5,303,308,323,331,358,368.6,421.3,451,f645176aa8693976bb48bb567f382ed517c7ecd0
2009,NA,359,311,319.9,335,346,371.7,395.8,448.2,498,f645176aa8693976bb48bb567f382ed517c7ecd0
2010,January,569.5,496,519.8,540.8,553,580.4,602,645.8,951,f645176aa8693976bb48bb567f382ed517c7ecd0
2010,November,33.5,17,19.95,25,29,36,44,58.1,82,f645176aa8693976bb48bb567f382ed517c7ecd0
2010,December,328.5,257,280,299.8,319.6,348,367.4,412.7,531,f645176aa8693976bb48bb567f382ed517c7ecd0
2010,NA,613,492,513.8,565.4,595,643,663.6,733.1,932,f645176aa8693976bb48bb567f382ed517c7ecd0
2011,January,623.5,550,563.6,587.8,601,647.1,675.4,732.1,796,f645176aa8693976bb48bb567f382ed517c7ecd0
2011,November,76,57,63.95,66.8,70.65,80.35,89,106.2,140,f645176aa8693976bb48bb567f382ed517c7ecd0
2011,December,353,239,275.7,305.6,329,394.3,426.2,495.1,546,f645176aa8693976bb48bb567f382ed517c7ecd0
2011,NA,547.5,432,447.9,489.4,512.2,583.8,625.6,709.3,805,f645176aa8693976bb48bb567f382ed517c7ecd0
2012,January,442.5,376,389.9,413,422.3,460.4,495,550.2,661,f645176aa8693976bb48bb567f382ed517c7ecd0
2012,November,45,23,24,32,39,51,58,83.15,118,f645176aa8693976bb48bb567f382ed517c7ecd0
2012,December,237.5,146,170,196.8,218.6,259,287.2,329.3,451,f645176aa8693976bb48bb567f382ed517c7ecd0
2012,NA,734,596,620.8,658.8,696,778.2,831,921.1,1025,f645176aa8693976bb48bb567f382ed517c7ecd0
2013,January,261.5,211,218,230.8,247,280,301.4,353.3,375,f645176aa8693976bb48bb567f382ed517c7ecd0
2013,November,31.5,11,16,20,24,34.35,42,61.25,96,f645176aa8693976bb48bb567f382ed517c7ecd0
2013,December,391.5,299,312.8,360.6,379.6,415.4,439.8,488,534,f645176aa8693976bb48bb567f382ed517c7ecd0
2013,NA,291,152,201.7,235.8,256.6,307,338.2,403.8,481,f645176aa8693976bb48bb567f382ed517c7ecd0
2014,January,288.5,230,242,255,271,297.7,318,372.8,442,f645176aa8693976bb48bb567f382ed517c7ecd0
2014,November,40,22,24.95,28,36.65,46.35,54,71,133,f645176aa8693976bb48bb567f382ed517c7ecd0
2014,December,251,188,212,221,233.3,270,289,326.2,369,f645176aa8693976bb48bb567f382ed517c7ecd0
2014,NA,320.5,241,246.9,290,305.6,339.7,368,426.9,648,f645176aa8693976bb48bb567f382ed517c7ecd0
2015,January,325.5,287,298,308,318,339.4,348.4,379.4,431,f645176aa8693976bb48bb567f382ed517c7ecd0
2015,November,23,12,12.95,17,20,27.35,33,52.05,62,f645176aa8693976bb48bb567f382ed517c7ecd0
2015,December,283,233,242,258,270,297,320,345.1,385,f645176aa8693976bb48bb567f382ed517c7ecd0
2015,NA,354.5,288,311.8,325,339.6,369,396.6,452.8,531,f645176aa8693976bb48bb567f382ed517c7ecd0
2016,January,337,305,313.9,322.8,330.6,347,356.4,393,455,f645176aa8693976bb48bb567f382ed517c7ecd0
2016,November,14,6,6,8,10.65,18,23,33.1,40,f645176aa8693976bb48bb567f382ed517c7ecd0
2016,December,178.5,128,139,151.8,168.6,192.4,212,244.2,313,f645176aa8693976bb48bb567f382ed517c7ecd0
2016,NA,323,262,280.8,296,311,338.4,352,383.2,494,f645176aa8693976bb48bb567f382ed517c7ecd0
2017,January,269,204,225,242,258,288,309,359.8,498,f645176aa8693976bb48bb567f382ed517c7ecd0
2017,November,59,49,49,53,55,64,69,85,95,f645176aa8693976bb48bb567f382ed517c7ecd0
2017,December,252,213,219.9,232,243,259,282,323,403,f645176aa8693976bb48bb567f382ed517c7ecd0
2017,NA,289.5,237,248,261.8,274.6,299.4,314.2,372.2,390,f645176aa8693976bb48bb567f382ed517c7ecd0
