winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2009,January,17,17,17,17,17,17,17,17,17,be1a04197c4e6ac8f5ebcc0017701cace7697315
2009,November,50,50,50,50,50,50,50,50,50,be1a04197c4e6ac8f5ebcc0017701cace7697315
2009,December,61,61,61,61,61,61,61,61,61,be1a04197c4e6ac8f5ebcc0017701cace7697315
2009,NA,33,33,33,33,33,33,33,33,33,be1a04197c4e6ac8f5ebcc0017701cace7697315
2010,January,17,17,17,17,17,17,17,17,17,be1a04197c4e6ac8f5ebcc0017701cace7697315
2010,November,4,4,4,4,4,4,4,4,4,be1a04197c4e6ac8f5ebcc0017701cace7697315
2010,December,15,15,15,15,15,15,15,15,15,be1a04197c4e6ac8f5ebcc0017701cace7697315
2010,NA,4,4,4,4,4,4,4,4,4,be1a04197c4e6ac8f5ebcc0017701cace7697315
2011,January,42,42,42,42,42,42,42,42,42,be1a04197c4e6ac8f5ebcc0017701cace7697315
2011,November,10,10,10,10,10,10,10,10,10,be1a04197c4e6ac8f5ebcc0017701cace7697315
2011,NA,24,24,24,24,24,24,24,24,24,be1a04197c4e6ac8f5ebcc0017701cace7697315
2012,January,9,9,9,9,9,9,9,9,9,be1a04197c4e6ac8f5ebcc0017701cace7697315
2012,November,26,26,26,26,26,26,26,26,26,be1a04197c4e6ac8f5ebcc0017701cace7697315
2012,December,16,16,16,16,16,16,16,16,16,be1a04197c4e6ac8f5ebcc0017701cace7697315
2012,NA,39,39,39,39,39,39,39,39,39,be1a04197c4e6ac8f5ebcc0017701cace7697315
2013,January,15,15,15,15,15,15,15,15,15,be1a04197c4e6ac8f5ebcc0017701cace7697315
2013,November,18,18,18,18,18,18,18,18,18,be1a04197c4e6ac8f5ebcc0017701cace7697315
2013,December,3,3,3,3,3,3,3,3,3,be1a04197c4e6ac8f5ebcc0017701cace7697315
2013,NA,20,20,20,20,20,20,20,20,20,be1a04197c4e6ac8f5ebcc0017701cace7697315
2014,January,4,4,4,4,4,4,4,4,4,be1a04197c4e6ac8f5ebcc0017701cace7697315
2014,November,17,17,17,17,17,17,17,17,17,be1a04197c4e6ac8f5ebcc0017701cace7697315
2014,December,10,10,10,10,10,10,10,10,10,be1a04197c4e6ac8f5ebcc0017701cace7697315
2014,NA,8,8,8,8,8,8,8,8,8,be1a04197c4e6ac8f5ebcc0017701cace7697315
2015,January,5,5,5,5,5,5,5,5,5,be1a04197c4e6ac8f5ebcc0017701cace7697315
2015,November,18,18,18,18,18,18,18,18,18,be1a04197c4e6ac8f5ebcc0017701cace7697315
2015,December,49,49,49,49,49,49,49,49,49,be1a04197c4e6ac8f5ebcc0017701cace7697315
2015,NA,17,17,17,17,17,17,17,17,17,be1a04197c4e6ac8f5ebcc0017701cace7697315
2016,January,30,30,30,30,30,30,30,30,30,be1a04197c4e6ac8f5ebcc0017701cace7697315
2016,November,16,16,16,16,16,16,16,16,16,be1a04197c4e6ac8f5ebcc0017701cace7697315
2016,December,20,20,20,20,20,20,20,20,20,be1a04197c4e6ac8f5ebcc0017701cace7697315
2016,NA,16,16,16,16,16,16,16,16,16,be1a04197c4e6ac8f5ebcc0017701cace7697315
2017,January,4,4,4,4,4,4,4,4,4,be1a04197c4e6ac8f5ebcc0017701cace7697315
2017,November,18,18,18,18,18,18,18,18,18,be1a04197c4e6ac8f5ebcc0017701cace7697315
2017,December,13,13,13,13,13,13,13,13,13,be1a04197c4e6ac8f5ebcc0017701cace7697315
2017,NA,18,18,18,18,18,18,18,18,18,be1a04197c4e6ac8f5ebcc0017701cace7697315
2018,January,18,18,18,18,18,18,18,18,18,be1a04197c4e6ac8f5ebcc0017701cace7697315
2018,November,21,21,21,21,21,21,21,21,21,be1a04197c4e6ac8f5ebcc0017701cace7697315
2018,December,5,5,5,5,5,5,5,5,5,be1a04197c4e6ac8f5ebcc0017701cace7697315
2018,NA,2,2,2,2,2,2,2,2,2,be1a04197c4e6ac8f5ebcc0017701cace7697315
2019,January,7,7,7,7,7,7,7,7,7,be1a04197c4e6ac8f5ebcc0017701cace7697315
2019,November,17,17,17,17,17,17,17,17,17,be1a04197c4e6ac8f5ebcc0017701cace7697315
2019,December,6,6,6,6,6,6,6,6,6,be1a04197c4e6ac8f5ebcc0017701cace7697315
2019,NA,7,7,7,7,7,7,7,7,7,be1a04197c4e6ac8f5ebcc0017701cace7697315
2020,November,1,1,1,1,1,1,1,1,1,be1a04197c4e6ac8f5ebcc0017701cace7697315
2020,December,2,2,2,2,2,2,2,2,2,be1a04197c4e6ac8f5ebcc0017701cace7697315
2021,January,1,1,1,1,1,1,1,1,1,be1a04197c4e6ac8f5ebcc0017701cace7697315
2021,November,7,7,7,7,7,7,7,7,7,be1a04197c4e6ac8f5ebcc0017701cace7697315
2021,December,46,46,46,46,46,46,46,46,46,be1a04197c4e6ac8f5ebcc0017701cace7697315
2021,NA,16,16,16,16,16,16,16,16,16,be1a04197c4e6ac8f5ebcc0017701cace7697315
2022,January,8,8,8,8,8,8,8,8,8,be1a04197c4e6ac8f5ebcc0017701cace7697315
2022,November,8,8,8,8,8,8,8,8,8,be1a04197c4e6ac8f5ebcc0017701cace7697315
2022,December,2,2,2,2,2,2,2,2,2,be1a04197c4e6ac8f5ebcc0017701cace7697315
2023,January,9,9,9,9,9,9,9,9,9,be1a04197c4e6ac8f5ebcc0017701cace7697315
2023,November,8,8,8,8,8,8,8,8,8,be1a04197c4e6ac8f5ebcc0017701cace7697315
2023,NA,6,6,6,6,6,6,6,6,6,be1a04197c4e6ac8f5ebcc0017701cace7697315
2024,January,5,5,5,5,5,5,5,5,5,be1a04197c4e6ac8f5ebcc0017701cace7697315
2024,November,11,11,11,11,11,11,11,11,11,be1a04197c4e6ac8f5ebcc0017701cace7697315
