winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2008,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2008,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2008,December,1,1,1,1,1,1,1,1,1,f097c112c8886af280c7b42271a853ecf1acdc10
2008,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2009,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2009,March,16,16,16,16,16,16,16,16,16,f097c112c8886af280c7b42271a853ecf1acdc10
2009,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2009,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2009,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2009,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2010,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2010,March,5,5,5,5,5,5,5,5,5,f097c112c8886af280c7b42271a853ecf1acdc10
2010,October,1,1,1,1,1,1,1,1,1,f097c112c8886af280c7b42271a853ecf1acdc10
2010,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2010,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2010,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2011,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2011,March,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2011,October,2,2,2,2,2,2,2,2,2,f097c112c8886af280c7b42271a853ecf1acdc10
2011,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2011,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
