winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2003,November,2498,2498,2498,2498,2498,2498,2498,2498,2498,a9c61fce9fa6319725c401005677845b30d90c12
2003,December,3787,3787,3787,3787,3787,3787,3787,3787,3787,a9c61fce9fa6319725c401005677845b30d90c12
2003,NA,3383,3383,3383,3383,3383,3383,3383,3383,3383,a9c61fce9fa6319725c401005677845b30d90c12
2004,January,3481,3481,3481,3481,3481,3481,3481,3481,3481,a9c61fce9fa6319725c401005677845b30d90c12
2004,November,1672,1672,1672,1672,1672,1672,1672,1672,1672,a9c61fce9fa6319725c401005677845b30d90c12
2004,December,2627,2627,2627,2627,2627,2627,2627,2627,2627,a9c61fce9fa6319725c401005677845b30d90c12
2004,NA,4579,4579,4579,4579,4579,4579,4579,4579,4579,a9c61fce9fa6319725c401005677845b30d90c12
2005,January,3602,3602,3602,3602,3602,3602,3602,3602,3602,a9c61fce9fa6319725c401005677845b30d90c12
2005,November,2410,2410,2410,2410,2410,2410,2410,2410,2410,a9c61fce9fa6319725c401005677845b30d90c12
2005,December,2867,2867,2867,2867,2867,2867,2867,2867,2867,a9c61fce9fa6319725c401005677845b30d90c12
2005,NA,3111,3111,3111,3111,3111,3111,3111,3111,3111,a9c61fce9fa6319725c401005677845b30d90c12
2006,January,2043,2043,2043,2043,2043,2043,2043,2043,2043,a9c61fce9fa6319725c401005677845b30d90c12
2006,November,2146,2146,2146,2146,2146,2146,2146,2146,2146,a9c61fce9fa6319725c401005677845b30d90c12
2006,December,2432,2432,2432,2432,2432,2432,2432,2432,2432,a9c61fce9fa6319725c401005677845b30d90c12
2006,NA,2811,2811,2811,2811,2811,2811,2811,2811,2811,a9c61fce9fa6319725c401005677845b30d90c12
2007,January,2524,2524,2524,2524,2524,2524,2524,2524,2524,a9c61fce9fa6319725c401005677845b30d90c12
2007,November,2388,2388,2388,2388,2388,2388,2388,2388,2388,a9c61fce9fa6319725c401005677845b30d90c12
2007,December,3506,3506,3506,3506,3506,3506,3506,3506,3506,a9c61fce9fa6319725c401005677845b30d90c12
2007,NA,3417,3417,3417,3417,3417,3417,3417,3417,3417,a9c61fce9fa6319725c401005677845b30d90c12
2008,January,1474,1474,1474,1474,1474,1474,1474,1474,1474,a9c61fce9fa6319725c401005677845b30d90c12
2008,November,1237,1237,1237,1237,1237,1237,1237,1237,1237,a9c61fce9fa6319725c401005677845b30d90c12
2008,December,1621,1621,1621,1621,1621,1621,1621,1621,1621,a9c61fce9fa6319725c401005677845b30d90c12
2008,NA,2372,2372,2372,2372,2372,2372,2372,2372,2372,a9c61fce9fa6319725c401005677845b30d90c12
2009,January,682,682,682,682,682,682,682,682,682,a9c61fce9fa6319725c401005677845b30d90c12
2009,November,1073,1073,1073,1073,1073,1073,1073,1073,1073,a9c61fce9fa6319725c401005677845b30d90c12
2009,December,1022,1022,1022,1022,1022,1022,1022,1022,1022,a9c61fce9fa6319725c401005677845b30d90c12
2009,NA,2261,2261,2261,2261,2261,2261,2261,2261,2261,a9c61fce9fa6319725c401005677845b30d90c12
2010,January,900,900,900,900,900,900,900,900,900,a9c61fce9fa6319725c401005677845b30d90c12
2010,November,548,548,548,548,548,548,548,548,548,a9c61fce9fa6319725c401005677845b30d90c12
2010,December,1812,1812,1812,1812,1812,1812,1812,1812,1812,a9c61fce9fa6319725c401005677845b30d90c12
2010,NA,1306,1306,1306,1306,1306,1306,1306,1306,1306,a9c61fce9fa6319725c401005677845b30d90c12
2011,January,1545,1545,1545,1545,1545,1545,1545,1545,1545,a9c61fce9fa6319725c401005677845b30d90c12
2011,November,471,471,471,471,471,471,471,471,471,a9c61fce9fa6319725c401005677845b30d90c12
2011,December,676,676,676,676,676,676,676,676,676,a9c61fce9fa6319725c401005677845b30d90c12
2011,NA,2568,2568,2568,2568,2568,2568,2568,2568,2568,a9c61fce9fa6319725c401005677845b30d90c12
2012,January,2187,2187,2187,2187,2187,2187,2187,2187,2187,a9c61fce9fa6319725c401005677845b30d90c12
2012,November,666,666,666,666,666,666,666,666,666,a9c61fce9fa6319725c401005677845b30d90c12
2012,December,914,914,914,914,914,914,914,914,914,a9c61fce9fa6319725c401005677845b30d90c12
