winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2010,January,115,115,115,115,115,115,115,115,115,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2010,November,80,80,80,80,80,80,80,80,80,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2010,December,62,62,62,62,62,62,62,62,62,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2010,NA,32,32,32,32,32,32,32,32,32,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2011,January,70,70,70,70,70,70,70,70,70,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2011,November,56,56,56,56,56,56,56,56,56,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2011,December,3,3,3,3,3,3,3,3,3,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2011,NA,19,19,19,19,19,19,19,19,19,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2012,January,137,137,137,137,137,137,137,137,137,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2012,November,93,93,93,93,93,93,93,93,93,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2012,December,33,33,33,33,33,33,33,33,33,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2012,NA,14,14,14,14,14,14,14,14,14,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2013,January,130,130,130,130,130,130,130,130,130,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2013,November,36,36,36,36,36,36,36,36,36,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2013,December,48,48,48,48,48,48,48,48,48,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2013,NA,73,73,73,73,73,73,73,73,73,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2014,January,152,152,152,152,152,152,152,152,152,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2014,November,112,112,112,112,112,112,112,112,112,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2014,December,79,79,79,79,79,79,79,79,79,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2014,NA,59,59,59,59,59,59,59,59,59,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2015,January,128,128,128,128,128,128,128,128,128,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2015,November,203,203,203,203,203,203,203,203,203,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2015,December,257,257,257,257,257,257,257,257,257,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2015,NA,105,105,105,105,105,105,105,105,105,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2016,January,191,191,191,191,191,191,191,191,191,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2016,November,44,44,44,44,44,44,44,44,44,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2016,December,123,123,123,123,123,123,123,123,123,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2016,NA,91,91,91,91,91,91,91,91,91,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2017,January,63,63,63,63,63,63,63,63,63,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2017,November,91,91,91,91,91,91,91,91,91,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2017,December,109,109,109,109,109,109,109,109,109,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2017,NA,60,60,60,60,60,60,60,60,60,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2018,January,80,80,80,80,80,80,80,80,80,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2018,November,86,86,86,86,86,86,86,86,86,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2018,December,131,131,131,131,131,131,131,131,131,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2018,NA,51,51,51,51,51,51,51,51,51,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2019,January,80,80,80,80,80,80,80,80,80,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2019,November,63,63,63,63,63,63,63,63,63,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2019,December,25,25,25,25,25,25,25,25,25,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2019,NA,6,6,6,6,6,6,6,6,6,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2020,January,299,299,299,299,299,299,299,299,299,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2020,November,97,97,97,97,97,97,97,97,97,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2020,December,17,17,17,17,17,17,17,17,17,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2020,NA,56,56,56,56,56,56,56,56,56,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2021,January,102,102,102,102,102,102,102,102,102,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2021,November,250,250,250,250,250,250,250,250,250,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2021,December,149,149,149,149,149,149,149,149,149,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2021,NA,124,124,124,124,124,124,124,124,124,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2022,January,216,216,216,216,216,216,216,216,216,db979e8c590dc3ec9bfbaa6f3748384349cb658a
2022,November,352,352,352,352,352,352,352,352,352,db979e8c590dc3ec9bfbaa6f3748384349cb658a
